secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
693,82,172,2.93515,15.3541,0,0,-4.4,54.33216960,24.41692320,0,-0.0812128,-255,0,-255,0,0,0,0,0,0,0,0
694,82,172,2.93943,15.3689,0,0,-4.4,54.33221180,24.41692260,0,-0.178483,-255,0,-255,0,0,0,0,0,0,0,0
695,82,172,2.9437,15.3837,0,0,-4.4,54.33225400,24.41692200,0,-0.275754,-255,0,-255,0,0,0,0,0,0,0,0
696,82,171,2.94789,15.2827,0,0,-4.46667,54.33229533,24.41692033,0,-0.532167,-255,0,-255,0,0,0,0,0,0,0,0
697,82,171,2.95208,15.1817,0,0,-4.53333,54.33233667,24.41691867,0,-0.788581,-255,0,-255,0,0,0,0,0,0,0,0
698,82,171,2.95627,15.0807,0,0,-4.6,54.33237800,24.41691700,0,-0.79096,-255,0,-255,0,0,0,0,0,0,0,0
699,81,171,2.96061,15.1888,0,0,-4.6,54.33242080,24.41691500,0,-0.634195,-255,0,-255,0,0,0,0,0,0,0,0
700,81,171,2.96494,15.2969,0,0,-4.6,54.33246360,24.41691300,0,-0.47743,-255,0,-255,0,0,0,0,0,0,0,0
701,81,171,2.96928,15.405,0,0,-4.6,54.33250640,24.41691100,0,-0.47743,-255,0,-255,0,0,0,0,0,0,0,0
702,81,171,2.97362,15.513,0,0,-4.6,54.33254920,24.41690900,0,-0.47743,-255,0,-255,0,0,0,0,0,0,0,0
703,81,171,2.97796,15.6211,0,0,-4.6,54.33259200,24.41690700,0,-0.47743,-255,0,-255,0,0,0,0,0,0,0,0
704,81,170,2.98217,15.3799,0,0,-4.6,54.33263350,24.41690550,0,-0.47743,-255,0,-255,0,0,0,0,0,0,0,0
705,81,170,2.98637,15.1386,0,0,-4.6,54.33267500,24.41690400,0,-0.47743,-255,0,-255,0,0,0,0,0,0,0,0
706,81,171,2.99045,15.0459,0,0,-4.64,54.33271520,24.41690200,0,-0.416415,-255,0,-255,0,0,0,0,0,0,0,0
707,81,171,2.99452,14.9531,0,0,-4.68,54.33275540,24.41690000,0,-0.355399,-255,0,-255,0,0,0,0,0,0,0,0
708,81,171,2.9986,14.8603,0,0,-4.72,54.33279560,24.41689800,0,-0.294384,-255,0,-255,0,0,0,0,0,0,0,0
709,81,171,3.00268,14.7675,0,0,-4.76,54.33283580,24.41689600,0,-0.392511,-255,0,-255,0,0,0,0,0,0,0,0
